frame,u,v,X,Y,theta_deg
109,2949,1898,2026.6324166305765,59.97626895187841,162.89727020263672
110,2958,1894,2036.3768947596366,64.37090749285835,162.12130737304688
111,2969,1889,2048.286812472932,69.86420566908373,162.07208251953125
112,2979,1883,2059.1140103941107,76.45616348055364,161.56504821777344
113,2988,1879,2068.8584885231703,80.85080202153358,160.90650939941406
114,2996,1874,2077.520246860113,86.34410019775851,160.24053192138672
115,3007,1869,2089.4301645734085,91.83739837398343,159.07550048828125
116,3016,1862,2099.174642702469,99.52801582069856,158.69422149658203
117,3026,1857,2110.001840623647,105.02131399692348,158.3768081665039
118,3034,1852,2118.6635989605893,110.51461217314863,157.38013458251953
119,3044,1845,2129.490796881767,118.20522961986353,156.30931091308594
120,3053,1838,2139.2352750108275,125.89584706657865,155.336181640625
121,3061,1834,2147.89703334777,130.2904856075586,154.60408782958984
122,3070,1826,2157.6415114768306,139.0797626895187,153.91440200805664
123,3079,1819,2167.3859896058902,146.7703801362336,153.43495178222656
124,3088,1811,2177.130467734951,155.5596572181937,152.02052688598633
125,3097,1804,2186.8749458640104,163.2502746649086,152.19854736328125
126,3105,1796,2195.536704200953,172.0395517468687,150.76718139648438
127,3113,1788,2204.1984625378955,180.8288288288286,149.7435646057129
128,3121,1783,2212.860220874838,186.32212700505374,149.11505508422852
129,3130,1774,2222.6046990038985,196.2100637222586,147.9946174621582
130,3138,1767,2231.26645734084,203.90068116897373,147.0721321105957
131,3145,1759,2238.8454958856655,212.6899582509336,145.7131233215332
132,3152,1750,2246.42453443049,222.5778949681387,144.78240585327148
133,3158,1740,2252.9208531831964,233.5644913205888,143.79741287231445
134,3164,1731,2259.4171719359038,243.45242803779365,142.4314079284668
135,3171,1723,2266.996210480728,252.24170511975376,140.0538330078125
136,3176,1713,2272.4098094413166,263.22830147220384,138.53229522705078
137,3182,1701,2278.906128194024,276.41221709514366,138.01278686523438
138,3184,1694,2281.071567778259,284.1028345418588,136.54815673828125
139,3188,1685,2285.4024469467304,293.9907712590639,134.2151756286621
140,3190,1674,2287.5678865309665,306.0760272467587,132.82525634765625
141,3193,1664,2290.8160459073197,317.0626235992088,130.38364791870117
142,3194,1654,2291.8987656994377,328.04921995165887,127.69424057006836
143,3195,1646,2292.981485491555,336.83849703361875,125.81608200073242
144,3196,1637,2294.064205283673,346.72643375082384,122.7352294921875
145,3195,1628,2292.981485491555,356.61437046802894,121.7391414642334
146,3194,1617,2291.8987656994377,368.6996264557238,118.76764869689941
147,3193,1606,2290.8160459073197,380.78488244341884,117.43972969055176
148,3191,1596,2288.6506063230836,391.7714787958689,114.8423900604248
149,3191,1588,2288.6506063230836,400.5607558778288,113.42869186401367
150,3190,1579,2287.5678865309665,410.4486925950339,112.35319709777832
151,3187,1570,2284.3197271546123,420.336629312239,111.03751182556152
152,3184,1561,2281.071567778259,430.22456602944385,108.28535270690918
153,3181,1553,2277.823408401906,439.01384311140396,105.4221601486206
154,3179,1548,2275.6579688176707,444.5071412876289,104.50016498565674
155,3175,1539,2271.3270896491995,454.395078004834,101.68937015533447
156,3171,1532,2266.996210480728,462.0856954515489,100.00798034667969
157,3166,1524,2261.582611520139,470.874972533509,98.39292430877686
158,3160,1515,2255.0862927674325,480.76290925071385,95.71059322357178
159,3156,1507,2250.7554135989612,489.55218633267395,95.44033241271973
160,3152,1498,2246.42453443049,499.44012304987905,93.33847045898438
161,3148,1489,2242.0936552620187,509.3280597670839,91.84761035442352
162,3146,1482,2239.9282156777826,517.018677213799,90.95484125614166
163,3142,1472,2235.5973365093114,528.0052735662489,90.0
164,3135,1462,2228.018297964487,538.991869918699,90.0
165,3134,1452,2226.93557817237,549.978466271149,88.4377670288086
166,3130,1442,2222.6046990038985,560.9650626235991,87.87889862060547
167,3127,1432,2219.3565396275444,571.951658976049,86.76898193359375
168,3126,1421,2218.2738198354273,584.036914963744,86.02061462402344
169,3124,1411,2216.108380251191,595.0235113161941,85.38934326171875
170,3118,1399,2209.6120614984848,608.2074269391342,84.34052276611328
171,3115,1389,2206.3639021221315,619.194023291584,83.71749877929688
172,3113,1377,2204.1984625378955,632.3779389145241,82.68097686767578
173,3110,1366,2200.9503031615423,644.4631949022191,81.8698959350586
174,3106,1355,2196.619423993071,656.5484508899142,81.66255187988281
175,3103,1345,2193.371264616718,667.535047242364,81.8698959350586
176,3100,1335,2190.1231052403646,678.5216435948141,79.6026611328125
177,3095,1324,2184.7095062797753,690.6068995825092,78.48616790771484
178,3091,1314,2180.378627111304,701.5934959349593,78.11134338378906
179,3088,1305,2177.130467734951,711.4814326521641,77.7352294921875
180,3083,1296,2171.7168687743615,721.3693693693692,76.86598205566406
181,3077,1285,2165.220550021655,733.4546253570643,75.96376037597656
182,3072,1274,2159.806951061066,745.5398813447591,74.96956634521484
183,3069,1264,2156.5587916847126,756.5264776972092,74.74488067626953
184,3065,1254,2152.2279125162413,767.5130740496593,73.76116180419922
185,3060,1243,2146.814313555652,779.5983300373543,73.45701599121094
186,3059,1233,2145.731593763534,790.5849263898042,72.85964965820312
187,3058,1223,2144.648873971417,801.5715227422543,72.70755004882812
188,3055,1212,2141.4007145950636,813.6567787299493,72.70755767822266
189,3052,1202,2138.1525552187095,824.6433750823992,72.89727020263672
190,3049,1191,2134.9043958423563,836.7286310700943,73.20162963867188
191,3046,1181,2131.656236466003,847.7152274225443,74.35775756835938
192,3044,1170,2129.490796881767,859.8004834102394,73.7798080444336
193,3042,1160,2127.325357297532,870.7870797626892,73.05078125
194,3039,1150,2124.0771979211786,881.7736761151393,72.89727020263672
195,3035,1139,2119.7463187527073,893.8589321028344,73.5513916015625
196,3031,1128,2115.415439584236,905.9441880905295,74.05460357666016
197,3030,1118,2114.332719792118,916.9307844429793,73.20162963867188
198,3027,1107,2111.084560415765,929.0160404306744,73.05078125
199,3026,1097,2110.001840623647,940.0026367831244,72.89727020263672
200,3022,1088,2105.6709614551755,949.8905735003295,73.61045837402344
201,3020,1077,2103.5055218709404,961.9758294880244,72.93714141845703
202,3018,1067,2101.3400822867043,972.9624258404745,73.20162963867188
203,3016,1058,2099.174642702469,982.8503625576795,73.61045837402344
204,3014,1048,2097.009203118233,993.8369589101294,72.77656555175781
205,3014,1037,2097.009203118233,1005.9222148978245,73.20162963867188
206,3011,1025,2093.76104374188,1019.1061305207645,73.21016693115234
207,3009,1010,2091.5956041576446,1035.5860250494395,73.66395568847656
208,3007,997,2089.4301645734085,1049.8686003076245,74.05460357666016
209,3006,986,2088.3474447812914,1061.9538562953196,74.11986541748047
210,3004,975,2086.1820051970553,1074.0391122830144,75.0685806274414
211,3004,966,2086.1820051970553,1083.9270490002195,75.3791275024414
212,3004,958,2086.1820051970553,1092.7163260821796,76.4295654296875
213,3004,949,2086.1820051970553,1102.6042627993845,76.63307189941406
214,3006,938,2088.3474447812914,1114.6895187870796,77.64464569091797
215,3008,924,2090.5128843655266,1130.0707536805096,78.05582427978516
216,3009,913,2091.5956041576446,1142.1560096682047,79.50852966308594
217,3009,903,2091.5956041576446,1153.1426060206545,80.18070220947266
218,3008,894,2090.5128843655266,1163.0305427378596,79.8379135131836
219,3007,884,2089.4301645734085,1174.0171390903097,79.99201965332031
220,3005,873,2087.2647249891734,1186.1023950780045,79.89496612548828
221,3005,861,2087.2647249891734,1199.2863107009448,79.7431869506836
222,3003,849,2085.0992854049373,1212.4702263238846,80.21759033203125
223,3001,838,2082.933845820702,1224.5554823115797,79.69515228271484
224,3001,828,2082.933845820702,1235.5420786640298,80.36246490478516
225,2999,817,2080.768406236466,1247.6273346517246,79.3150863647461
226,2999,806,2080.768406236466,1259.71259063942,79.8379135131836
227,2997,795,2078.602966652231,1271.7978466271147,79.11447143554688
228,2997,783,2078.602966652231,1284.9817622500548,80.53767395019531
229,2996,772,2077.520246860113,1297.0670182377498,79.64668273925781
230,2995,762,2076.437527067995,1308.0536145901997,80.53767395019531
231,2993,751,2074.2720874837596,1320.1388705778947,80.08724212646484
232,2992,741,2073.1893676916416,1331.1254669303448,79.3150863647461
233,2991,730,2072.1066478995235,1343.2107229180397,80.18070220947266
234,2990,718,2071.0239281074064,1356.39463854098,79.8379135131836
235,2989,708,2069.9412083152883,1367.3812348934298,80.45547485351562
236,2986,696,2066.693048938935,1380.5651505163698,79.93093872070312
237,2985,685,2065.610329146817,1392.650406504065,80.45086669921875
238,2983,674,2063.444889562582,1404.7356624917597,80.88864135742188
239,2982,663,2062.362169770464,1416.820918479455,80.45086669921875
240,2981,652,2061.279449978346,1428.9061744671499,80.18070220947266
241,2980,642,2060.196730186228,1439.8927708196,79.64668273925781
242,2978,630,2058.0312906019926,1453.07668644254,79.69515228271484
243,2978,620,2058.0312906019926,1464.0632827949898,81.17961883544922
244,2977,609,2056.9485708098746,1476.148538782685,80.62293243408203
245,2976,597,2055.8658510177565,1489.332454405625,80.3802719116211
246,2975,587,2054.7831312256394,1500.3190507580748,80.27242279052734
247,2974,576,2053.7004114335214,1512.40430674577,79.2156982421875
248,2973,565,2052.6176916414033,1524.489562733465,80.36246490478516
249,2971,554,2050.452252057168,1536.57481872116,79.69515228271484
250,2970,543,2049.36953226505,1548.660074708855,79.8379135131836
251,2969,532,2048.286812472932,1560.74533069655,80.18070220947266
252,2967,521,2046.1213728886967,1572.8305866842452,80.13418579101562
253,2966,510,2045.038653096579,1584.91584267194,79.7431869506836
254,2965,498,2043.955933304461,1598.09975829488,80.18070220947266
255,2964,488,2042.8732135123435,1609.0863546473302,80.08724212646484
256,2963,476,2041.7904937202254,1622.27027027027,79.69515228271484
257,2962,465,2040.7077739281078,1634.355526257965,80.18070220947266
258,2961,455,2039.6250541359898,1645.3421226104151,80.13418579101562
259,2960,444,2038.5423343438722,1657.4273785981102,79.8379135131836
260,2959,433,2037.4596145517542,1669.5126345858052,79.87532806396484
261,2958,423,2036.3768947596366,1680.499230938255,81.25383758544922
262,2957,411,2035.294174967519,1693.6831465611951,79.69515228271484
263,2955,400,2033.1287353832834,1705.7684025488902,80.53767395019531
264,2955,390,2033.1287353832834,1716.75499890134,80.29960632324219
265,2954,378,2032.0460155911653,1729.9389145242803,79.8379135131836
266,2953,368,2030.9632957990477,1740.9255108767302,79.50852966308594
267,2951,357,2028.797856214812,1753.0107668644252,79.64668273925781
268,2949,345,2026.6324166305765,1766.1946824873653,79.11447143554688
269,2948,335,2025.5496968384584,1777.1812788398151,80.53767395019531
270,2947,323,2024.4669770463408,1790.3651944627552,79.69515228271484
271,2945,312,2022.3015374621052,1802.4504504504503,80.04937744140625
272,2944,303,2021.2188176699872,1812.3383871676554,80.62293243408203
273,2943,292,2020.1360978778696,1824.4236431553504,80.77607727050781
274,2941,281,2017.970658293634,1836.5088991430453,80.29960632324219
275,2937,271,2013.6397791251627,1847.4954954954953,78.9828872680664
276,2931,260,2007.1434603724558,1859.5807514831904,78.11134338378906
277,2927,250,2002.8125812039846,1870.5673478356402,78.11134338378906
278,2922,241,1997.3989822433957,1880.4552845528453,76.8170394897461
279,2916,231,1990.9026634906888,1891.4418809052954,75.49983215332031
280,2908,222,1982.2409051537468,1901.3298176225003,73.91835021972656
281,2902,214,1975.74458640104,1910.1190947044604,72.49913787841797
282,2897,206,1970.3309874404506,1918.9083717864205,71.99583435058594
283,2889,198,1961.6692291035085,1927.6976488683804,70.01689147949219
284,2881,191,1953.007470766566,1935.3882663150955,67.52056884765625
285,2872,183,1943.262992637506,1944.1775433970554,66.80140686035156
286,2864,177,1934.6012343005634,1950.7695012085255,64.41148376464844
287,2856,171,1925.939475963621,1957.3614590199954,62.487998962402344
288,2848,166,1917.2777176266784,1962.8547571962204,60.75117111206055
289,2838,161,1906.4505197055007,1968.3480553724455,58.570438385009766
290,2829,156,1896.7060415764402,1973.8413535486704,56.445068359375
291,2821,152,1888.044283239498,1978.2359920896504,55.08816909790039
292,2812,149,1878.2998051104375,1981.5319709953856,53.392921447753906
293,2804,148,1869.6380467734955,1982.6306306306305,51.34019088745117
294,2795,145,1859.8935686444354,1985.9266095363655,48.6522216796875
295,2785,142,1849.0663707232573,1989.2225884421005,46.75699234008789
296,2776,141,1839.3218925941972,1990.3212480773454,45.0
297,2766,139,1828.494694673019,1992.5185673478354,42.6558723449707
298,2758,138,1819.8329363360765,1993.6172269830804,40.833492279052734
299,2749,137,1810.0884582070164,1994.7158866183254,38.81138610839844
300,2740,138,1800.3439800779563,1993.6172269830804,36.764381408691406
301,2731,138,1790.5995019488957,1993.6172269830804,35.134193420410156
302,2723,137,1781.9377436119537,1994.7158866183254,33.11134338378906
303,2714,139,1772.1932654828936,1992.5185673478354,30.784147262573242
304,2704,138,1761.3660675617155,1993.6172269830804,29.302207946777344
305,2693,140,1749.4561498484197,1991.4199077125904,27.49283790588379
306,2684,140,1739.7116717193592,1991.4199077125904,25.866357803344727
307,2673,141,1727.8017540060634,1990.3212480773454,23.5400390625
308,2663,143,1716.9745560848858,1988.1239288068555,21.948699951171875
309,2653,145,1706.1473581637076,1985.9266095363655,20.26569938659668
310,2643,146,1695.3201602425295,1984.8279499011205,17.744672775268555
311,2635,147,1686.658401905587,1983.7292902658755,16.798372268676758
312,2627,149,1677.996643568645,1981.5319709953856,15.662105560302734
313,2617,151,1667.1694456474668,1979.3346517248954,14.03624439239502
314,2607,154,1656.3422477262886,1976.0386728191604,12.917813301086426
315,2597,155,1645.515049805111,1974.9400131839154,11.309932708740234
316,2586,158,1633.6051320918148,1971.6440342781805,10.304847717285156
317,2578,157,1624.9433737548727,1972.7426939134255,8.8646240234375
318,2566,158,1611.950736249459,1971.6440342781805,8.27589225769043
319,2555,158,1600.0408185361632,1971.6440342781805,8.601385116577148
320,2545,158,1589.213620614985,1971.6440342781805,8.19806957244873
321,2535,156,1578.3864226938074,1973.8413535486704,7.125016689300537
322,2523,157,1565.3937851883936,1972.7426939134255,6.740056991577148
323,2511,159,1552.4011476829799,1970.5453746429355,6.170175075531006
324,2500,157,1540.4912299696841,1972.7426939134255,5.806726932525635
325,2490,155,1529.664032048506,1974.9400131839154,5.147884845733643
326,2479,157,1517.7541143352103,1972.7426939134255,4.159642696380615
327,2467,158,1504.761476829797,1971.6440342781805,3.674499750137329
328,2457,158,1493.9342789086188,1971.6440342781805,3.122130870819092
329,2446,158,1482.024361195323,1971.6440342781805,3.094058036804199
330,2434,161,1469.0317236899093,1968.3480553724455,2.556149959564209
331,2421,162,1454.956366392378,1967.2493957372005,1.992093563079834
332,2411,163,1444.1291684711998,1966.1507361019553,180.0
333,2400,165,1432.219250757904,1963.9534168314653,180.0
334,2387,169,1418.1438934603727,1959.5587782904854,178.9583740234375
335,2376,172,1406.233975747077,1956.2627993847505,177.93617248535156
336,2365,173,1394.3240580337813,1955.1641397495055,176.8201675415039
337,2356,177,1384.5795799047212,1950.7695012085255,175.2363510131836
338,2345,180,1372.669662191425,1947.4735223027903,174.23736572265625
339,2334,184,1360.7597444781293,1943.0788837618104,173.9275360107422
340,2324,188,1349.9325465569516,1938.6842452208305,173.0189437866211
341,2314,193,1339.1053486357735,1933.1909470446053,171.57302856445312
342,2304,196,1328.2781507145953,1929.8949681388704,171.05461883544922
343,2296,199,1319.6163923776528,1926.5989892331354,170.02228546142578
344,2286,205,1308.7891944564751,1920.0070314216655,168.48616790771484
345,2275,209,1296.8792767431794,1915.6123928806853,168.27488708496094
346,2265,211,1286.0520788220012,1913.4150736101953,168.27488708496094
347,2254,216,1274.1421611087055,1907.9217754339704,167.125
348,2243,221,1262.2322433954098,1902.4284772577453,166.21839904785156
349,2233,225,1251.4050454742317,1898.0338387167653,165.44642639160156
350,2223,227,1240.5778475530535,1895.8365194462754,165.0685806274414
351,2212,230,1228.6679298397578,1892.5405405405404,164.5603485107422
352,2201,235,1216.758012126462,1887.0472423643155,164.93151092529297
353,2191,239,1205.930814205284,1882.6526038233353,163.90918731689453
354,2181,239,1195.1036162841058,1882.6526038233353,164.05460357666016
355,2169,241,1182.1109787786925,1880.4552845528453,164.337890625
356,2159,245,1171.2837808575143,1876.0606460118654,164.05460357666016
357,2148,248,1159.3738631442186,1872.7646671061302,164.1974868774414
358,2136,250,1146.3812256388048,1870.5673478356402,164.1974868774414
359,2126,251,1135.5540277176272,1869.4686882003953,164.47589111328125
360,2115,253,1123.644110004331,1867.2713689299053,164.69915771484375
361,2104,256,1111.7341922910352,1863.9753900241703,163.69829559326172
362,2094,258,1100.9069943698576,1861.7780707536804,164.1974868774414
363,2084,257,1090.0797964486794,1862.8767303889254,164.83554077148438
364,2072,255,1077.0871589432656,1865.0740496594153,166.34235382080078
365,2059,253,1063.0118016457343,1867.2713689299053,167.90524291992188
366,2048,251,1051.1018839324386,1869.4686882003953,168.27488708496094
367,2039,250,1041.3574058033785,1870.5673478356402,169.69515228271484
368,2029,248,1030.5302078822003,1872.7646671061302,169.69515228271484
369,2017,245,1017.5375703767866,1876.0606460118654,170.7066879272461
370,2006,242,1005.6276526634908,1879.3566249176004,171.8698959350586
371,1996,240,994.8004547423131,1881.5539441880903,172.7468032836914
372,1986,239,983.973256821135,1882.6526038233353,173.774169921875
373,1974,235,970.9806193157212,1887.0472423643155,174.7099151611328
374,1963,232,959.0707016024255,1890.3432212700504,175.1009063720703
375,1953,231,948.2435036812474,1891.4418809052954,175.76361083984375
376,1942,232,936.3335859679516,1890.3432212700504,175.0540313720703
377,1932,234,925.506388046774,1888.1459019995605,174.61068725585938
378,1921,234,913.5964703334778,1888.1459019995605,174.80557250976562
379,1909,234,900.6038328280645,1888.1459019995605,174.7099151611328
380,1899,234,889.7766349068863,1888.1459019995605,175.0540313720703
381,1888,234,877.8667171935906,1888.1459019995605,175.60128784179688
382,1877,234,865.9567994802949,1888.1459019995605,175.60128784179688
383,1866,236,854.0468817669989,1885.9485827290705,174.7099151611328
384,1856,236,843.219683845821,1885.9485827290705,175.14690399169922
385,1844,236,830.2270463404075,1885.9485827290705,175.80233001708984
386,1834,236,819.3998484192293,1885.9485827290705,175.68397521972656
387,1823,237,807.4899307059336,1884.8499230938253,176.35881805419922
388,1812,238,795.5800129926379,1883.7512634585803,175.72415924072266
389,1802,238,784.7528150714597,1883.7512634585803,175.68397521972656
390,1792,238,773.9256171502818,1883.7512634585803,175.84036254882812
391,1781,238,762.0156994369859,1883.7512634585803,175.64302825927734
392,1771,238,751.188501515808,1883.7512634585803,175.68397521972656
393,1761,240,740.36130359463,1881.5539441880903,175.14690399169922
394,1751,240,729.5341056734519,1881.5539441880903,175.64302825927734
395,1740,240,717.6241879601562,1881.5539441880903,175.60128784179688
396,1728,242,704.6315504547426,1879.3566249176004,174.4724578857422
397,1715,242,690.556193157211,1879.3566249176004,175.60128784179688
398,1703,244,677.5635556517975,1877.1593056471104,174.5596694946289
399,1692,246,665.6536379385018,1874.9619863766204,174.61068725585938
400,1682,246,654.8264400173239,1874.9619863766204,174.5596694946289
401,1672,246,643.9992420961457,1874.9619863766204,174.488525390625
402,1662,248,633.1720441749678,1872.7646671061302,174.4724578857422
403,1652,250,622.3448462537897,1870.5673478356402,174.2894058227539
404,1641,252,610.434928540494,1868.3700285651503,173.49436950683594
405,1631,254,599.607730619316,1866.1727092946603,173.45370483398438
406,1620,256,587.6978129060201,1863.9753900241703,173.23382568359375
407,1609,257,575.7878951927244,1862.8767303889254,173.11827850341797
408,1598,259,563.8779774794286,1860.6794111184354,172.81146240234375
409,1587,261,551.9680597661327,1858.4820918479454,172.40535736083984
410,1577,262,541.1408618449548,1857.3834322127004,172.47618103027344
411,1567,265,530.3136639237769,1854.0874533069652,172.1847152709961
412,1555,268,517.3210264183631,1850.7914744012303,171.71420288085938
413,1545,271,506.4938284971852,1847.4954954954953,171.4163818359375
414,1535,272,495.66663057600726,1846.3968358602503,171.3358612060547
415,1525,272,484.8394326548291,1846.3968358602503,171.25383758544922
416,1514,274,472.9295149415334,1844.1995165897604,171.13536834716797
417,1503,277,461.01959722823767,1840.9035376840252,170.62293243408203
418,1491,279,448.0269597228239,1838.7062184135352,170.88864135742188
419,1479,280,435.03432221741036,1837.6075587782902,171.05461883544922
420,1469,282,424.20712429623245,1835.4102395078003,170.08724212646484
421,1458,283,412.2972065829365,1834.3115798725553,170.71644592285156
422,1448,285,401.4700086617586,1832.1142606020653,170.7066879272461
423,1438,286,390.64281074058067,1831.0156009668203,171.2146987915039
424,1426,287,377.6501732351669,1829.9169413315753,171.05461883544922
425,1415,288,365.7402555218712,1828.8182816963304,170.8033447265625
426,1403,290,352.74761801645764,1826.6209624258404,170.92850494384766
427,1392,291,340.8377003031617,1825.5223027905954,170.3802719116211
